after_volume,target_std,cut_off_price,1st_open_price,1hr_prior_price,2hr_prior_price,3hr_prior_price,close_price,prior_volume,prior_std,diff_cut_close,Vix,Nas_open,Nas_diff,diff_1_Open,diff_2_Open,diff_3_Open,Nas_volume,date
33647.68404724641,0.6479520798275111,351.97,346.99,351.19,350.92,352.0,351.95,17696.394028922336,0.991232284985844,-0.020000000000038654,13.350000381469727,14500.1103515625,23.9599609375,2.4782926907099068,2.0005129584897645,-4.309735919009654,5232820000,2024-01-05
14637.650523105794,0.6230697302581563,375.35,370.16,374.64,373.78,376.28,374.49,26026.915082297524,0.938764137551714,-0.8600000000000136,12.699999809265137,15001.009765625,-28.25,-1.9607331547399554,9.9431556216486,13.695472458743666,4958940000,2024-01-12
30805.581045584175,0.4916687715310738,383.87,379.0,383.14,381.14,381.32,383.52,52199.12450882436,1.0610267806484501,-0.35000000000002274,13.300000190734863,15122.3798828125,188.58984375,7.47478613631273,12.640436896170968,5.324905373791125,5604950000,2024-01-19
22934.530120994117,0.79765747735854,395.75,393.85,395.86,396.02,396.27,394.14,16632.93890059799,1.189033632984362,-1.6100000000000136,13.260000228881836,15474.849609375,-19.4892578125,4.160371569449978,4.329593568294058,9.684373963280564,4510530000,2024-01-26
58477.04964587723,2.3004813418055163,479.47,459.69,476.81,481.79,477.02,474.88,173337.41434703686,4.432708507545339,-4.590000000000032,13.850000381469727,15403.16015625,225.7900390625,65.35200461410324,70.26884065155127,55.747290246179716,4800690000,2024-02-02
28946.41570563393,0.9353054768796428,470.71,472.95,469.08,470.55,470.51,468.01,28182.675671585108,0.9966683177001091,-2.6999999999999886,12.930000305175781,15842.3798828125,148.2802734375,4.608300620518094,14.87992783861796,8.908034663154467,5797260000,2024-02-09
23955.429818287572,1.2624703930224779,476.55,477.95,473.26,473.27,475.13,473.19,57486.71512440829,1.6716853743327524,-3.3600000000000136,14.239999771118164,15910.4296875,-134.779296875,2.8167036897272624,10.132273834573937,21.140355172531258,5223800000,2024-02-16
19703.627971102065,0.6597833356962216,483.39,488.09,488.17,486.99,485.87,484.03,33201.13177928303,2.45069166404715,0.6399999999999864,13.75,16094.7998046875,-97.9794921875,7.781635924402281,21.471678450178842,18.759404349722445,5077910000,2024-02-23
18043.93093148427,0.593752738189359,502.34,491.86,502.04,499.26,499.34,502.54,25221.601745196513,1.887032205777393,0.20000000000004547,13.109999656677246,16109.830078125,165.1103515625,3.656658941185526,7.084149701754882,12.08589504351437,5457910000,2024-03-01
15773.454270912867,0.9198540255603612,504.37,514.19,502.16,507.98,510.65,505.97,24443.49075469409,7.0084668526030605,1.6000000000000227,14.739999771118164,16322.099609375,-236.9892578125,10.870370744545596,16.499816558612167,19.120266645296795,5411790000,2024-03-08
